mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__early_stopping,param_mlp__hidden_layer_sizes,param_mlp__learning_rate_init,param_mlp__solver,param_pls__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.06102490425109863,0.017518274428569403,0.000659257173538208,0.0003413834045186182,relu,0.03,True,"(10,)",0.004,adam,6,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.004, 'mlp__solver': 'adam', 'pls__n_components': 6}",0.8673237040188168,-2.459795324478465,0.711482676252526,0.954845946954108,0.4091823492701424,0.5219757977942492,0.7506523921295232,0.8817140552462636,0.3296726996483955,1.068415692346573,212
0.07423591613769531,0.01428754635542789,0.0005492269992828369,0.00024575985841522103,relu,0.03,True,"(10,)",0.004,adam,5,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.004, 'mlp__solver': 'adam', 'pls__n_components': 5}",0.8428539807681195,-1.9064870673063,0.768071381164831,0.9476078815279366,0.5413552136939423,0.6236612757325972,0.830526739218347,0.7474016943143602,0.4243738873892292,0.8890055789673825,93
0.06466209888458252,0.018451115052046507,0.0008291900157928467,0.0003689576126615699,relu,0.03,True,"(10,)",0.004,adam,7,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.004, 'mlp__solver': 'adam', 'pls__n_components': 7}",0.8236715769344465,-2.905498436364345,0.7634144965407716,0.9798933897833177,0.7483094885164806,0.19795359779332544,0.5836996540063204,0.1872435938888758,0.17233592013739918,1.1937686957332216,430
0.10663187503814697,0.032274057469574964,0.0008071362972259521,0.0003884874907548461,relu,0.03,True,"(10,)",0.002,adam,6,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.002, 'mlp__solver': 'adam', 'pls__n_components': 6}",0.8641109536831044,-2.441677774859387,0.7198152344158575,0.9537914591402089,0.4631240993481386,0.5424697315917872,0.7440980582194434,0.9030863527284302,0.34360226428344787,1.0647672462443525,194
0.11598795652389526,0.01763532847669282,0.0006825923919677734,0.0003456347899948709,relu,0.03,True,"(10,)",0.002,adam,5,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.002, 'mlp__solver': 'adam', 'pls__n_components': 5}",0.8446604937754348,-1.949067799290885,0.7639683750721618,0.9457911505871232,0.5458588306197212,0.6144547339599631,0.8225122245004055,0.7519047677885591,0.4175103471265605,0.9023143657618773,120
0.1239294707775116,0.049807214279032556,0.000715106725692749,0.0003599146397249359,relu,0.03,True,"(10,)",0.002,adam,7,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.002, 'mlp__solver': 'adam', 'pls__n_components': 7}",0.8337331744867499,-2.713478498847367,0.738281770333347,0.9757001448129422,0.760571708115753,0.20003340676931713,0.6062736412398675,0.1716717900488297,0.19659839211992997,1.1325547178414155,393
0.06929779052734375,0.02707103567395853,0.0006912946701049805,0.0003525251499224706,relu,0.03,True,"(10,)",0.003,adam,6,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.003, 'mlp__solver': 'adam', 'pls__n_components': 6}",0.866483634865944,-2.4694259597286434,0.7153231289195042,0.9537498733770099,0.4225299975443345,0.5287082248802215,0.7414304843467795,0.8959549160720117,0.33184428753464523,1.0723652462596518,203
0.08591046929359436,0.014409334337272907,0.000528484582901001,0.00022343516227041213,relu,0.03,True,"(10,)",0.003,adam,5,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.003, 'mlp__solver': 'adam', 'pls__n_components': 5}",0.8445250033404337,-1.8704374475494832,0.7689943036750562,0.9456861390590707,0.5402956268029855,0.6184418714928206,0.8287227014940216,0.7489948650441595,0.42815288291988307,0.8770033100370052,73
0.0825977623462677,0.0264514243993975,0.0005388855934143066,0.000261275483340225,relu,0.03,True,"(10,)",0.003,adam,7,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.003, 'mlp__solver': 'adam', 'pls__n_components': 7}",0.8273121828046547,-2.667387111150951,0.7460769787577302,0.9772704940151552,0.7554104378573347,0.1924803100145518,0.5877883147629481,0.18178492530346102,0.20009206654561057,1.1167490601018386,392
0.06254270672798157,0.023154141588437187,0.0005342364311218262,0.00027912553496016836,relu,0.03,True,"(10,)",0.0035,adam,6,"{'mlp__activation': 'relu', 'mlp__alpha': 0.03, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0035, 'mlp__solver': 'adam', 'pls__n_components': 6}",0.8670119001139173,-2.4702134634428274,0.7159170336403102,0.9542574216998327,0.4140607860251405,0.5251438088025198,0.7438065020633589,0.882529506214009,0.32906418688953265,1.0717900621967789,218
