n_components,R2_CV,R2_Cal,RMSE_CV,RMSE_Cal
1,0.38573528699382365,0.43306774453240227,2.1584915573101062,4.475983822493647
2,0.5976544371127805,0.6364921994277304,1.9418302687026183,3.584097308307575
3,0.6653514040656159,0.7122115625903684,1.8544226118268625,3.189037273954613
4,0.7041963066483907,0.7548488044954409,1.7980938700121445,2.9433366113980637
5,0.7516711927057649,0.7985134291186867,1.7211480853418384,2.668369559525102
6,0.7690265371664127,0.8190626608548821,1.6902540443904492,2.5286401211117306
7,0.781323618520375,0.8389929246003056,1.6672930203154186,2.3853131669504166
8,0.7875995198539837,0.8536915723919388,1.6551994598990718,2.2738279276111926
9,0.784598646617526,0.860449626080122,1.6610150570022402,2.2206925063561616
10,0.7866355828009814,0.8686335553299129,1.6570742201623516,2.154592520652888
