mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_mlp__activation,param_mlp__alpha,param_mlp__early_stopping,param_mlp__hidden_layer_sizes,param_mlp__learning_rate_init,param_mlp__solver,param_pls__n_components,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,split5_test_score,split6_test_score,split7_test_score,mean_test_score,std_test_score,rank_test_score
0.12011754512786865,0.02059974074090439,0.0013990402221679688,0.0019707963384130466,relu,0.045,True,"(10,)",0.0035,adam,6,"{'mlp__activation': 'relu', 'mlp__alpha': 0.045, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0035, 'mlp__solver': 'adam', 'pls__n_components': 6}",-0.07033316304681914,0.03173611881668614,0.20723631610946125,-0.547087271481209,-0.286407539530773,0.6166030249468648,-0.6504161186833108,0.24162149882804018,-0.057130891755132446,0.39776633267281825,11
0.10287857055664062,0.029078333809606137,0.0015731453895568848,0.0023956412062149084,relu,0.045,True,"(10,)",0.0035,adam,5,"{'mlp__activation': 'relu', 'mlp__alpha': 0.045, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0035, 'mlp__solver': 'adam', 'pls__n_components': 5}",-0.05920991048657087,0.002126169311363113,0.42417755113700384,-0.3707748277130156,-0.24166908761854788,0.4168788984762356,-2.1577996744766232,0.38840528751408254,-0.19973319923200905,0.793797373491167,28
0.08433902263641357,0.01627060158771326,0.000818789005279541,0.0004020485723106881,relu,0.045,True,"(10,)",0.0035,adam,7,"{'mlp__activation': 'relu', 'mlp__alpha': 0.045, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.0035, 'mlp__solver': 'adam', 'pls__n_components': 7}",0.0191386971795916,-0.3105239871691252,0.41799206178595183,-0.04072278543582297,-0.29575038757484484,0.5151245027169269,-0.4848259443944398,0.1320085159183505,-0.005944915871676504,0.3313209167091729,4
0.16710981726646423,0.013179313340595172,0.000701904296875,0.00035809081630971447,relu,0.045,True,"(10,)",0.002,adam,6,"{'mlp__activation': 'relu', 'mlp__alpha': 0.045, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.002, 'mlp__solver': 'adam', 'pls__n_components': 6}",-0.13694503294498817,0.01323859696375762,0.18873860771990691,-0.42816715469311295,-0.32016882941345637,0.6094585240361876,-0.6024317701658017,0.2731772704680929,-0.05038747350367677,0.37567689369741286,7
0.12611135840415955,0.03143493951941072,0.0005886852741241455,0.00024303422243233966,relu,0.045,True,"(10,)",0.002,adam,5,"{'mlp__activation': 'relu', 'mlp__alpha': 0.045, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.002, 'mlp__solver': 'adam', 'pls__n_components': 5}",0.0022561573624748643,0.03245152852111122,0.4036512184798591,-0.43490207358260013,-0.257027067787561,0.4230213997282939,-1.9561109401167087,0.4180304828403416,-0.17107866181934867,0.7386743663760514,18
0.13106822967529297,0.019701499453601702,0.0007307529449462891,0.00039626170210548933,relu,0.045,True,"(10,)",0.002,adam,7,"{'mlp__activation': 'relu', 'mlp__alpha': 0.045, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10,), 'mlp__learning_rate_init': 0.002, 'mlp__solver': 'adam', 'pls__n_components': 7}",0.015942299925921888,-0.28649290700774865,0.5080609896467225,0.07414269848931032,-0.2579782384777829,0.5150150823814447,-0.4148994955867107,0.09216368799998365,0.0307442646713926,0.3261178499759743,1
0.288644403219223,0.18934277144573045,0.0009138882160186768,0.0005644172062676786,relu,0.045,True,"(10, 1)",0.0035,adam,6,"{'mlp__activation': 'relu', 'mlp__alpha': 0.045, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10, 1), 'mlp__learning_rate_init': 0.0035, 'mlp__solver': 'adam', 'pls__n_components': 6}",-0.4334934080860062,-0.0522243780524021,0.14948680978013107,0.49429448721399394,-3.0375030952971676,-0.06391142610759104,-0.6642886198968083,0.9290944931678906,-0.334818142159745,1.123359772759668,39
0.41700929403305054,0.18045204391124342,0.0010538995265960693,0.0007043181525784619,relu,0.045,True,"(10, 1)",0.0035,adam,5,"{'mlp__activation': 'relu', 'mlp__alpha': 0.045, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10, 1), 'mlp__learning_rate_init': 0.0035, 'mlp__solver': 'adam', 'pls__n_components': 5}",-0.038681295007177985,0.16042905171185318,0.4424609446736597,-5.479448182727825,-0.22243329406411605,0.12909601322943776,-3.4377348521954945,0.2988065824928794,-1.018438128985848,2.05921941084724,54
0.31420519948005676,0.1731230122467863,0.0005162954330444336,4.743825797955953e-05,relu,0.045,True,"(10, 1)",0.0035,adam,7,"{'mlp__activation': 'relu', 'mlp__alpha': 0.045, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10, 1), 'mlp__learning_rate_init': 0.0035, 'mlp__solver': 'adam', 'pls__n_components': 7}",-1.787774321499572,-0.1887875330145985,0.307298672824568,-0.1107108184129002,-3.532156890804801,-0.6628714980697645,-0.6111519188344763,-1.9581515107707896,-1.0680382273227917,1.1903894744960564,59
0.4007680118083954,0.23310366753347095,0.000767439603805542,0.0006663909904100538,relu,0.045,True,"(10, 1)",0.002,adam,6,"{'mlp__activation': 'relu', 'mlp__alpha': 0.045, 'mlp__early_stopping': True, 'mlp__hidden_layer_sizes': (10, 1), 'mlp__learning_rate_init': 0.002, 'mlp__solver': 'adam', 'pls__n_components': 6}",-0.42008099803518717,-0.05134969389253441,0.11077980024471612,0.4725395689389035,-3.4048315912393408,-0.06730945752057971,-0.6563207401910509,0.8974812635826886,-0.38988648101404805,1.2263878444423801,42
