n_components,R2_CV,R2_Cal,RMSE_CV,RMSE_Cal
1,0.446831701328819,0.6953157395009077,2.4767697035268967,4.552685199119844
2,0.7706498907914809,0.8898044151185049,1.9874492315420982,2.7379449308130384
3,0.8585677385986008,0.9273567310347914,1.7611989877555758,2.2230042923391946
4,0.8843046893566687,0.9409409424538959,1.6749438206553522,2.004406801516018
5,0.8840525257884269,0.9501120781078667,1.6758557310833642,1.842215017882825
6,0.8810886102640428,0.9614379484456355,1.686464367057767,1.6196556004823373
7,0.8596017644814608,0.9672611368812964,1.757971047335707,1.4923627786903488
8,0.8528803526411841,0.9725880379207615,1.778643766351208,1.3655659297443234
9,0.8368928452139691,0.9771772511457555,1.825112160722408,1.2460245157433434
10,0.8306776958572417,0.9782787764638703,1.8422554426009603,1.2155833814950834
